VIN,YEAR,MAKE,MODEL,SOURCE,SOURCE_CITY,SOURCE_STATE,RESIDUAL,STATUS,WEEK,ASSIGNED_DEALER,NOTES
VIN_XXXXXXXXXX176,2024,HYUNDAI,IONIQ 5 SEL,D023,Atlanta,GA,26250,Grounded,2025-11-24,,Grounded at Dealer_W
VIN_XXXXXXXXXX177,2024,HYUNDAI,IONIQ 5 SEL,D004,Charlotte,NC,26350,Grounded,2025-12-08,,Grounded at Dealer_D
VIN_XXXXXXXXXX178,2022,HYUNDAI,IONIQ 5 SE,D021,Pierre,SD,18500,Grounded,2025-12-29,,Grounded at Dealer_U
VIN_XXXXXXXXXX179,2022,HYUNDAI,IONIQ 5 SE,D026,Cheyenne,WY,14250,Grounded,2025-12-08,,Grounded at Dealer_Z
VIN_XXXXXXXXXX180,2024,HYUNDAI,IONIQ 5 SEL,D016,Richmond,VA,27500,Grounded,2025-12-15,,Grounded at Dealer_P
VIN_XXXXXXXXXX181,2024,HYUNDAI,IONIQ 5 SEL,D047,Columbus,OH,23000,Grounded,2025-10-27,,Grounded at Dealer_UU
VIN_XXXXXXXXXX182,2022,HYUNDAI,IONIQ 5 SE,D012,Baton Rouge,LA,16100,Grounded,2025-11-24,,Grounded at Dealer_L
VIN_XXXXXXXXXX183,2024,HYUNDAI,IONIQ 5 SEL,D014,Las Vegas,NV,25750,Grounded,2025-11-17,,Grounded at Dealer_N
VIN_XXXXXXXXXX184,2024,HYUNDAI,IONIQ 5 SEL,D024,Helena,MT,23900,Grounded,2025-11-17,,Grounded at Dealer_X
VIN_XXXXXXXXXX185,2022,HYUNDAI,IONIQ 5 SE,D050,Salem,OR,18100,Grounded,2026-01-26,,Grounded at Dealer_XX
VIN_XXXXXXXXXX186,2023,HYUNDAI,IONIQ 5 Limited,D007,Phoenix,AZ,22650,Grounded,2026-01-19,,Grounded at Dealer_G
VIN_XXXXXXXXXX187,2024,HYUNDAI,IONIQ 5 SEL,D011,Des Moines,IA,24050,Grounded,2026-01-19,,Grounded at Dealer_K
VIN_XXXXXXXXXX188,2024,HYUNDAI,IONIQ 5 SEL,D028,Kansas City,MO,24150,Grounded,2025-12-01,,Grounded at Dealer_BB
VIN_XXXXXXXXXX189,2022,HYUNDAI,IONIQ 5 SE,D019,Detroit,MI,20600,Grounded,2025-11-03,,Grounded at Dealer_S
VIN_XXXXXXXXXX190,2024,HYUNDAI,IONIQ 5 SEL,D039,Buffalo,NY,25850,Grounded,2025-10-06,,Grounded at Dealer_MM
VIN_XXXXXXXXXX191,2022,HYUNDAI,IONIQ 5 SE,D032,Birmingham,AL,16050,Grounded,2025-10-27,,Grounded at Dealer_FF
VIN_XXXXXXXXXX192,2024,HYUNDAI,IONIQ 5 SEL,D031,Salt Lake City,UT,26550,Grounded,2025-12-08,,Grounded at Dealer_EE
VIN_XXXXXXXXXX193,2023,HYUNDAI,IONIQ 5 Limited,D005,Seattle,WA,25250,Grounded,2025-10-20,,Grounded at Dealer_E
VIN_XXXXXXXXXX194,2022,HYUNDAI,IONIQ 5 SE,D015,Boston,MA,15700,Grounded,2025-12-08,,Grounded at Dealer_O
VIN_XXXXXXXXXX195,2023,HYUNDAI,IONIQ 5 Limited,D046,Providence,RI,20650,Grounded,2025-12-08,,Grounded at Dealer_TT
VIN_XXXXXXXXXX196,2024,HYUNDAI,IONIQ 5 SEL,D001,Portland,OR,27250,Grounded,2025-12-15,,Grounded at Dealer_A
VIN_XXXXXXXXXX197,2022,HYUNDAI,IONIQ 5 SE,D048,Lincoln,NE,17050,Grounded,2026-01-26,,Grounded at Dealer_VV
VIN_XXXXXXXXXX198,2024,HYUNDAI,IONIQ 5 SEL,D043,Bismarck,ND,26800,Grounded,2025-12-08,,Grounded at Dealer_QQ
VIN_XXXXXXXXXX199,2022,HYUNDAI,IONIQ 5 SE,D003,Albuquerque,NM,15100,Grounded,2026-01-26,,Grounded at Dealer_C
VIN_XXXXXXXXXX200,2022,HYUNDAI,IONIQ 5 SE,D044,Hartford,CT,13400,Grounded,2026-01-26,,Grounded at Dealer_RR
VIN_XXXXXXXXXX201,2022,HYUNDAI,IONIQ 5 SE,D037,Boise,ID,13400,Grounded,2025-10-20,,Grounded at Dealer_KK
VIN_XXXXXXXXXX202,2023,HYUNDAI,IONIQ 5 Limited,D004,Charlotte,NC,16650,Grounded,2025-11-03,,Grounded at Dealer_D
VIN_XXXXXXXXXX203,2023,HYUNDAI,IONIQ 5 Limited,D036,San Diego,CA,20700,Grounded,2025-12-15,,Grounded at Dealer_JJ
VIN_XXXXXXXXXX204,2023,HYUNDAI,IONIQ 5 Limited,D010,Philadelphia,PA,20650,Grounded,2026-01-26,,Grounded at Dealer_J
VIN_XXXXXXXXXX205,2024,HYUNDAI,IONIQ 5 SEL,D015,Boston,MA,20300,Grounded,2025-11-10,,Grounded at Dealer_O
VIN_XXXXXXXXXX206,2022,HYUNDAI,IONIQ 5 SE,D044,Hartford,CT,13550,Grounded,2025-10-27,,Grounded at Dealer_RR
VIN_XXXXXXXXXX207,2022,HYUNDAI,IONIQ 5 SE,D025,Indianapolis,IN,16150,Grounded,2025-11-10,,Grounded at Dealer_Y
VIN_XXXXXXXXXX208,2023,HYUNDAI,IONIQ 5 Limited,D032,Birmingham,AL,25200,Grounded,2026-01-12,,Grounded at Dealer_FF
VIN_XXXXXXXXXX209,2024,HYUNDAI,IONIQ 5 SEL,D007,Phoenix,AZ,25550,Grounded,2026-01-26,,Grounded at Dealer_G
VIN_XXXXXXXXXX210,2024,HYUNDAI,IONIQ 5 SEL,D025,Indianapolis,IN,22200,Grounded,2025-10-27,,Grounded at Dealer_Y
VIN_XXXXXXXXXX211,2024,HYUNDAI,IONIQ 5 SEL,D033,Los Angeles,CA,24850,Grounded,2025-10-20,,Grounded at Dealer_GG
VIN_XXXXXXXXXX212,2024,HYUNDAI,IONIQ 5 SEL,D022,Minneapolis,MN,27800,Grounded,2025-10-20,,Grounded at Dealer_V
VIN_XXXXXXXXXX213,2023,HYUNDAI,IONIQ 5 Limited,D008,Topeka,KS,23600,Grounded,2025-12-22,,Grounded at Dealer_H
VIN_XXXXXXXXXX214,2024,HYUNDAI,IONIQ 5 SEL,D034,Houston,TX,21150,Grounded,2026-02-02,,Grounded at Dealer_HH
VIN_XXXXXXXXXX215,2023,HYUNDAI,IONIQ 5 Limited,D015,Boston,MA,25250,Grounded,2025-11-24,,Grounded at Dealer_O
VIN_XXXXXXXXXX216,2024,HYUNDAI,IONIQ 5 SEL,D016,Richmond,VA,24150,Grounded,2025-10-13,,Grounded at Dealer_P
VIN_XXXXXXXXXX217,2023,HYUNDAI,IONIQ 5 Limited,D049,Carson City,NV,18400,Grounded,2025-11-24,,Grounded at Dealer_WW
VIN_XXXXXXXXXX218,2023,HYUNDAI,IONIQ 5 Limited,D004,Charlotte,NC,18100,Grounded,2026-01-19,,Grounded at Dealer_D
VIN_XXXXXXXXXX219,2024,HYUNDAI,IONIQ 5 SEL,D048,Lincoln,NE,21700,Grounded,2025-11-24,,Grounded at Dealer_VV
VIN_XXXXXXXXXX220,2022,HYUNDAI,IONIQ 5 SE,D014,Las Vegas,NV,16750,Grounded,2026-02-02,,Grounded at Dealer_N
VIN_XXXXXXXXXX221,2022,HYUNDAI,IONIQ 5 SE,D029,Jackson,MS,14950,Grounded,2025-12-15,,Grounded at Dealer_CC
VIN_XXXXXXXXXX222,2024,HYUNDAI,IONIQ 5 SEL,D035,Denver,CO,23350,Grounded,2025-11-17,,Grounded at Dealer_II
VIN_XXXXXXXXXX223,2023,HYUNDAI,IONIQ 5 Limited,D001,Portland,OR,17800,Grounded,2025-11-10,,Grounded at Dealer_A
VIN_XXXXXXXXXX224,2023,HYUNDAI,IONIQ 5 Limited,D024,Helena,MT,20450,Grounded,2025-12-08,,Grounded at Dealer_X
VIN_XXXXXXXXXX225,2024,HYUNDAI,IONIQ 5 SEL,D024,Helena,MT,28100,Grounded,2025-12-15,,Grounded at Dealer_X
VIN_XXXXXXXXXX226,2023,HYUNDAI,IONIQ 5 Limited,D044,Hartford,CT,20600,Grounded,2025-11-24,,Grounded at Dealer_RR
VIN_XXXXXXXXXX227,2022,HYUNDAI,IONIQ 5 SE,D047,Columbus,OH,17200,Grounded,2025-10-27,,Grounded at Dealer_UU
VIN_XXXXXXXXXX228,2022,HYUNDAI,IONIQ 5 SE,D038,Miami,FL,14800,Grounded,2025-11-10,,Grounded at Dealer_LL
VIN_XXXXXXXXXX229,2022,HYUNDAI,IONIQ 5 SE,D048,Lincoln,NE,15950,Grounded,2025-10-13,,Grounded at Dealer_VV
VIN_XXXXXXXXXX230,2023,HYUNDAI,IONIQ 5 Limited,D022,Minneapolis,MN,20900,Grounded,2025-11-10,,Grounded at Dealer_V
VIN_XXXXXXXXXX231,2022,HYUNDAI,IONIQ 5 SE,D013,Dallas,TX,18300,Grounded,2025-12-22,,Grounded at Dealer_M
VIN_XXXXXXXXXX232,2023,HYUNDAI,IONIQ 5 Limited,D005,Seattle,WA,24100,Grounded,2026-01-26,,Grounded at Dealer_E
VIN_XXXXXXXXXX233,2024,HYUNDAI,IONIQ 5 SEL,D020,Louisville,KY,20650,Grounded,2025-10-20,,Grounded at Dealer_T
VIN_XXXXXXXXXX234,2022,HYUNDAI,IONIQ 5 SE,D046,Providence,RI,17050,Grounded,2026-01-05,,Grounded at Dealer_TT
VIN_XXXXXXXXXX235,2023,HYUNDAI,IONIQ 5 Limited,D007,Phoenix,AZ,21950,Grounded,2025-12-22,,Grounded at Dealer_G
VIN_XXXXXXXXXX236,2023,HYUNDAI,IONIQ 5 Limited,D001,Portland,OR,20900,Grounded,2025-12-08,,Grounded at Dealer_A
VIN_XXXXXXXXXX237,2022,HYUNDAI,IONIQ 5 SE,D018,Wilmington,DE,20000,Grounded,2026-02-02,,Grounded at Dealer_R
VIN_XXXXXXXXXX238,2024,HYUNDAI,IONIQ 5 SEL,D007,Phoenix,AZ,24650,Grounded,2025-12-22,,Grounded at Dealer_G
VIN_XXXXXXXXXX239,2023,HYUNDAI,IONIQ 5 Limited,D027,Nashville,TN,22050,Grounded,2026-01-12,,Grounded at Dealer_AA
VIN_XXXXXXXXXX240,2024,HYUNDAI,IONIQ 5 SEL,D005,Seattle,WA,23550,Grounded,2025-12-15,,Grounded at Dealer_E
VIN_XXXXXXXXXX241,2022,HYUNDAI,IONIQ 5 SE,D037,Boise,ID,17550,Grounded,2025-10-13,,Grounded at Dealer_KK
VIN_XXXXXXXXXX242,2023,HYUNDAI,IONIQ 5 Limited,D025,Indianapolis,IN,18700,Grounded,2025-11-24,,Grounded at Dealer_Y
VIN_XXXXXXXXXX243,2024,HYUNDAI,IONIQ 5 SEL,D002,Sacramento,CA,23100,Grounded,2025-12-08,,Grounded at Dealer_B
VIN_XXXXXXXXXX244,2023,HYUNDAI,IONIQ 5 Limited,D007,Phoenix,AZ,19350,Grounded,2025-10-27,,Grounded at Dealer_G
VIN_XXXXXXXXXX245,2022,HYUNDAI,IONIQ 5 SE,D047,Columbus,OH,17800,Grounded,2025-12-08,,Grounded at Dealer_UU
VIN_XXXXXXXXXX246,2023,HYUNDAI,IONIQ 5 Limited,D034,Houston,TX,18750,Grounded,2025-11-10,,Grounded at Dealer_HH
VIN_XXXXXXXXXX247,2024,HYUNDAI,IONIQ 5 SEL,D011,Des Moines,IA,26550,Grounded,2025-11-24,,Grounded at Dealer_K
VIN_XXXXXXXXXX248,2022,HYUNDAI,IONIQ 5 SE,D008,Topeka,KS,16450,Grounded,2025-12-08,,Grounded at Dealer_H
VIN_XXXXXXXXXX249,2024,HYUNDAI,IONIQ 5 SEL,D049,Carson City,NV,25350,Grounded,2025-12-22,,Grounded at Dealer_WW
VIN_XXXXXXXXXX250,2024,HYUNDAI,IONIQ 5 SEL,D016,Richmond,VA,20400,Grounded,2026-01-05,,Grounded at Dealer_P
VIN_XXXXXXXXXX251,2024,HYUNDAI,IONIQ 5 SEL,D033,Los Angeles,CA,21800,Grounded,2025-11-24,,Grounded at Dealer_GG
VIN_XXXXXXXXXX252,2024,HYUNDAI,IONIQ 5 SE,D038,Miami,FL,21400,Grounded,2025-10-06,,Grounded at Dealer_LL
VIN_XXXXXXXXXX253,2024,HYUNDAI,IONIQ 5 SEL,D012,Baton Rouge,LA,27200,Grounded,2025-11-10,,Grounded at Dealer_L
VIN_XXXXXXXXXX254,2023,HYUNDAI,IONIQ 5 Limited,D042,Milwaukee,WI,23300,Grounded,2025-12-29,,Grounded at Dealer_PP
VIN_XXXXXXXXXX255,2023,HYUNDAI,IONIQ 5 Limited,D036,San Diego,CA,19650,Grounded,2025-12-22,,Grounded at Dealer_JJ
VIN_XXXXXXXXXX256,2024,HYUNDAI,IONIQ 5 SEL,D026,Cheyenne,WY,23350,Grounded,2025-10-13,,Grounded at Dealer_Z
VIN_XXXXXXXXXX257,2022,HYUNDAI,IONIQ 5 SE,D013,Dallas,TX,13550,Grounded,2025-11-17,,Grounded at Dealer_M
VIN_XXXXXXXXXX258,2022,HYUNDAI,IONIQ 5 SE,D027,Nashville,TN,16750,Grounded,2026-01-26,,Grounded at Dealer_AA
VIN_XXXXXXXXXX259,2023,HYUNDAI,IONIQ 5 Limited,D042,Milwaukee,WI,22550,Grounded,2025-12-08,,Grounded at Dealer_PP
VIN_XXXXXXXXXX260,2024,HYUNDAI,IONIQ 5 SEL,D001,Portland,OR,22550,Grounded,2025-10-13,,Grounded at Dealer_A
VIN_XXXXXXXXXX261,2024,HYUNDAI,IONIQ 5 SEL,D034,Houston,TX,20450,Grounded,2025-12-15,,Grounded at Dealer_HH
VIN_XXXXXXXXXX262,2022,HYUNDAI,IONIQ 5 SE,D017,Juneau,AK,16000,Grounded,2026-01-26,,Grounded at Dealer_Q
VIN_XXXXXXXXXX263,2022,HYUNDAI,IONIQ 5 SE,D037,Boise,ID,18550,Grounded,2025-11-10,,Grounded at Dealer_KK
VIN_XXXXXXXXXX264,2024,HYUNDAI,IONIQ 5 SEL,D017,Juneau,AK,26600,Grounded,2025-10-20,,Grounded at Dealer_Q
VIN_XXXXXXXXXX265,2022,HYUNDAI,IONIQ 5 SE,D031,Salt Lake City,UT,14050,Grounded,2025-11-24,,Grounded at Dealer_EE
VIN_XXXXXXXXXX266,2023,HYUNDAI,IONIQ 5 Limited,D035,Denver,CO,25600,Grounded,2025-11-24,,Grounded at Dealer_II
VIN_XXXXXXXXXX267,2024,HYUNDAI,IONIQ 5 SEL,D045,Tampa,FL,22550,Grounded,2025-12-08,,Grounded at Dealer_SS
VIN_XXXXXXXXXX268,2023,HYUNDAI,IONIQ 5 Limited,D048,Lincoln,NE,20800,Grounded,2025-10-27,,Grounded at Dealer_VV
VIN_XXXXXXXXXX269,2022,HYUNDAI,IONIQ 5 SE,D016,Richmond,VA,16450,Grounded,2026-02-02,,Grounded at Dealer_P
VIN_XXXXXXXXXX270,2023,HYUNDAI,IONIQ 5 Limited,D039,Buffalo,NY,21550,Grounded,2025-11-24,,Grounded at Dealer_MM
VIN_XXXXXXXXXX271,2023,HYUNDAI,IONIQ 5 Limited,D046,Providence,RI,23050,Grounded,2026-01-12,,Grounded at Dealer_TT
VIN_XXXXXXXXXX272,2023,HYUNDAI,IONIQ 5 Limited,D039,Buffalo,NY,24400,Grounded,2025-12-15,,Grounded at Dealer_MM
VIN_XXXXXXXXXX273,2024,HYUNDAI,IONIQ 5 SEL,D033,Los Angeles,CA,24500,Grounded,2025-11-10,,Grounded at Dealer_GG
VIN_XXXXXXXXXX274,2024,HYUNDAI,IONIQ 5 SEL,D018,Wilmington,DE,24350,Grounded,2025-11-17,,Grounded at Dealer_R
VIN_XXXXXXXXXX275,2023,HYUNDAI,IONIQ 5 Limited,D043,Bismarck,ND,21300,Grounded,2025-11-10,,Grounded at Dealer_QQ
VIN_XXXXXXXXXX276,2024,HYUNDAI,IONIQ 5 SEL,D028,Kansas City,MO,23950,Grounded,2025-11-03,,Grounded at Dealer_BB
VIN_XXXXXXXXXX277,2024,HYUNDAI,IONIQ 5 SEL,D040,Little Rock,AR,23050,Grounded,2025-11-24,,Grounded at Dealer_NN
VIN_XXXXXXXXXX278,2023,HYUNDAI,IONIQ 5 Limited,D028,Kansas City,MO,19400,Grounded,2026-01-12,,Grounded at Dealer_BB
VIN_XXXXXXXXXX279,2023,HYUNDAI,IONIQ 5 Limited,D011,Des Moines,IA,18500,Grounded,2025-12-01,,Grounded at Dealer_K
VIN_XXXXXXXXXX280,2023,HYUNDAI,IONIQ 5 Limited,D050,Salem,OR,25550,Grounded,2025-11-24,,Grounded at Dealer_XX
VIN_XXXXXXXXXX281,2023,HYUNDAI,IONIQ 5 Limited,D016,Richmond,VA,23600,Grounded,2026-01-19,,Grounded at Dealer_P
VIN_XXXXXXXXXX282,2023,HYUNDAI,IONIQ 5 Limited,D005,Seattle,WA,18650,Grounded,2026-02-02,,Grounded at Dealer_E
VIN_XXXXXXXXXX283,2024,HYUNDAI,IONIQ 5 SEL,D012,Baton Rouge,LA,20350,Grounded,2025-12-15,,Grounded at Dealer_L
VIN_XXXXXXXXXX284,2023,HYUNDAI,IONIQ 5 Limited,D004,Charlotte,NC,22800,Grounded,2025-11-17,,Grounded at Dealer_D
VIN_XXXXXXXXXX285,2022,HYUNDAI,IONIQ 5 SE,D019,Detroit,MI,14050,Grounded,2025-10-13,,Grounded at Dealer_S
VIN_XXXXXXXXXX286,2023,HYUNDAI,IONIQ 5 Limited,D013,Dallas,TX,21100,Grounded,2026-01-12,,Grounded at Dealer_M
VIN_XXXXXXXXXX287,2024,HYUNDAI,IONIQ 5 SEL,D006,Olympia,WA,26050,Grounded,2025-11-24,,Grounded at Dealer_F
VIN_XXXXXXXXXX288,2022,HYUNDAI,IONIQ 5 SE,D039,Buffalo,NY,12750,Grounded,2026-02-02,,Grounded at Dealer_MM
VIN_XXXXXXXXXX289,2024,HYUNDAI,IONIQ 5 SEL,D028,Kansas City,MO,22200,Grounded,2025-11-17,,Grounded at Dealer_BB
VIN_XXXXXXXXXX290,2022,HYUNDAI,IONIQ 5 SE,D005,Seattle,WA,19800,Grounded,2025-11-24,,Grounded at Dealer_E
VIN_XXXXXXXXXX291,2024,HYUNDAI,IONIQ 5 SEL,D019,Detroit,MI,22300,Grounded,2025-12-15,,Grounded at Dealer_S
VIN_XXXXXXXXXX292,2023,HYUNDAI,IONIQ 5 Limited,D029,Jackson,MS,18950,Grounded,2025-12-22,,Grounded at Dealer_CC
VIN_XXXXXXXXXX293,2024,HYUNDAI,IONIQ 5 SEL,D004,Charlotte,NC,25550,Grounded,2026-01-12,,Grounded at Dealer_D
VIN_XXXXXXXXXX294,2022,HYUNDAI,IONIQ 5 SE,D028,Kansas City,MO,14650,Grounded,2025-12-08,,Grounded at Dealer_BB
VIN_XXXXXXXXXX295,2023,HYUNDAI,IONIQ 5 Limited,D033,Los Angeles,CA,22300,Grounded,2025-12-15,,Grounded at Dealer_GG
VIN_XXXXXXXXXX296,2024,HYUNDAI,IONIQ 5 SEL,D041,Oklahoma City,OK,21650,Grounded,2025-12-15,,Grounded at Dealer_OO
VIN_XXXXXXXXXX297,2023,HYUNDAI,IONIQ 5 Limited,D047,Columbus,OH,20850,Grounded,2026-01-26,,Grounded at Dealer_UU
VIN_XXXXXXXXXX298,2024,HYUNDAI,IONIQ 5 SEL,D037,Boise,ID,25950,Grounded,2025-12-15,,Grounded at Dealer_KK
VIN_XXXXXXXXXX299,2023,HYUNDAI,IONIQ 5 Limited,D040,Little Rock,AR,22800,Grounded,2026-02-02,,Grounded at Dealer_NN
VIN_XXXXXXXXXX300,2024,HYUNDAI,IONIQ 5 SEL,D047,Columbus,OH,22900,Grounded,2025-12-22,,Grounded at Dealer_UU
VIN_XXXXXXXXXX301,2024,HYUNDAI,IONIQ 5 SEL,D021,Pierre,SD,20900,Grounded,2025-12-15,,Grounded at Dealer_U
VIN_XXXXXXXXXX302,2023,HYUNDAI,IONIQ 5 Limited,D033,Los Angeles,CA,18550,Grounded,2025-11-10,,Grounded at Dealer_GG
VIN_XXXXXXXXXX303,2023,HYUNDAI,IONIQ 5 Limited,D019,Detroit,MI,24900,Grounded,2025-12-01,,Grounded at Dealer_S
VIN_XXXXXXXXXX304,2022,HYUNDAI,IONIQ 5 SE,D045,Tampa,FL,17650,Grounded,2025-12-22,,Grounded at Dealer_SS
VIN_XXXXXXXXXX305,2022,HYUNDAI,IONIQ 5 SE,D023,Atlanta,GA,15850,Grounded,2026-01-05,,Grounded at Dealer_W
VIN_XXXXXXXXXX306,2022,HYUNDAI,IONIQ 5 SE,D049,Carson City,NV,14600,Grounded,2025-12-29,,Grounded at Dealer_WW
VIN_XXXXXXXXXX307,2024,HYUNDAI,IONIQ 5 SEL,D046,Providence,RI,26350,Grounded,2025-12-01,,Grounded at Dealer_TT
VIN_XXXXXXXXXX308,2024,HYUNDAI,IONIQ 5 SEL,D014,Las Vegas,NV,24950,Grounded,2025-12-22,,Grounded at Dealer_N
VIN_XXXXXXXXXX309,2023,HYUNDAI,IONIQ 5 Limited,D044,Hartford,CT,21500,Grounded,2025-12-15,,Grounded at Dealer_RR
VIN_XXXXXXXXXX310,2024,HYUNDAI,IONIQ 5 SEL,D020,Louisville,KY,24300,Grounded,2026-01-26,,Grounded at Dealer_T
VIN_XXXXXXXXXX311,2023,HYUNDAI,IONIQ 5 Limited,D008,Topeka,KS,22400,Grounded,2026-01-19,,Grounded at Dealer_H
VIN_XXXXXXXXXX312,2024,HYUNDAI,IONIQ 5 SEL,D028,Kansas City,MO,22600,Grounded,2025-10-13,,Grounded at Dealer_BB
VIN_XXXXXXXXXX313,2023,HYUNDAI,IONIQ 5 Limited,D010,Philadelphia,PA,17950,Grounded,2025-10-13,,Grounded at Dealer_J
VIN_XXXXXXXXXX314,2022,HYUNDAI,IONIQ 5 SE,D029,Jackson,MS,14450,Grounded,2025-11-17,,Grounded at Dealer_CC
VIN_XXXXXXXXXX315,2022,HYUNDAI,IONIQ 5 SE,D027,Nashville,TN,15800,Grounded,2026-01-26,,Grounded at Dealer_AA
VIN_XXXXXXXXXX316,2022,HYUNDAI,IONIQ 5 SE,D007,Phoenix,AZ,18400,Grounded,2025-11-24,,Grounded at Dealer_G
VIN_XXXXXXXXXX317,2022,HYUNDAI,IONIQ 5 SE,D013,Dallas,TX,15700,Grounded,2025-10-13,,Grounded at Dealer_M
VIN_XXXXXXXXXX318,2023,HYUNDAI,IONIQ 5 Limited,D047,Columbus,OH,20200,Grounded,2025-11-24,,Grounded at Dealer_UU
VIN_XXXXXXXXXX319,2024,HYUNDAI,IONIQ 5 SEL,D028,Kansas City,MO,27650,Grounded,2025-12-15,,Grounded at Dealer_BB
VIN_XXXXXXXXXX320,2023,HYUNDAI,IONIQ 5 Limited,D026,Cheyenne,WY,23000,Grounded,2025-11-10,,Grounded at Dealer_Z
VIN_XXXXXXXXXX321,2023,HYUNDAI,IONIQ 5 Limited,D041,Oklahoma City,OK,24700,Grounded,2026-01-19,,Grounded at Dealer_OO
VIN_XXXXXXXXXX322,2022,HYUNDAI,IONIQ 5 SE,D046,Providence,RI,16900,Grounded,2026-01-26,,Grounded at Dealer_TT
VIN_XXXXXXXXXX323,2023,HYUNDAI,IONIQ 5 Limited,D044,Hartford,CT,25700,Grounded,2025-11-03,,Grounded at Dealer_RR
VIN_XXXXXXXXXX324,2024,HYUNDAI,IONIQ 5 SEL,D013,Dallas,TX,20450,Grounded,2025-10-13,,Grounded at Dealer_M
VIN_XXXXXXXXXX325,2024,HYUNDAI,IONIQ 5 SEL,D031,Salt Lake City,UT,25500,Grounded,2025-11-17,,Grounded at Dealer_EE
VIN_XXXXXXXXXX326,2022,HYUNDAI,IONIQ 5 SE,D045,Tampa,FL,15050,Grounded,2025-11-17,,Grounded at Dealer_SS
VIN_XXXXXXXXXX327,2022,HYUNDAI,IONIQ 5 SE,D009,Charleston,SC,15550,Grounded,2025-11-10,,Grounded at Dealer_I
VIN_XXXXXXXXXX328,2022,HYUNDAI,IONIQ 5 SE,D049,Carson City,NV,13600,Grounded,2026-01-26,,Grounded at Dealer_WW
VIN_XXXXXXXXXX329,2022,HYUNDAI,IONIQ 5 SE,D022,Minneapolis,MN,15650,Grounded,2025-10-20,,Grounded at Dealer_V
VIN_XXXXXXXXXX330,2023,HYUNDAI,IONIQ 5 Limited,D049,Carson City,NV,16750,Grounded,2026-01-19,,Grounded at Dealer_WW
VIN_XXXXXXXXXX331,2024,HYUNDAI,IONIQ 5 SEL,D006,Olympia,WA,27350,Grounded,2025-10-20,,Grounded at Dealer_F
VIN_XXXXXXXXXX332,2023,HYUNDAI,IONIQ 5 Limited,D013,Dallas,TX,22150,Grounded,2025-12-15,,Grounded at Dealer_M
VIN_XXXXXXXXXX333,2022,HYUNDAI,IONIQ 5 SE,D020,Louisville,KY,13100,Grounded,2025-12-08,,Grounded at Dealer_T
VIN_XXXXXXXXXX334,2022,HYUNDAI,IONIQ 5 SE,D043,Bismarck,ND,16600,Grounded,2026-01-05,,Grounded at Dealer_QQ
VIN_XXXXXXXXXX335,2022,HYUNDAI,IONIQ 5 SE,D006,Olympia,WA,13600,Grounded,2025-11-24,,Grounded at Dealer_F
VIN_XXXXXXXXXX336,2022,HYUNDAI,IONIQ 5 SE,D004,Charlotte,NC,17450,Grounded,2025-10-27,,Grounded at Dealer_D
VIN_XXXXXXXXXX337,2024,HYUNDAI,IONIQ 5 SEL,D042,Milwaukee,WI,23000,Grounded,2025-11-10,,Grounded at Dealer_PP
VIN_XXXXXXXXXX338,2023,HYUNDAI,IONIQ 5 Limited,D021,Pierre,SD,18500,Grounded,2025-12-15,,Grounded at Dealer_U
VIN_XXXXXXXXXX339,2023,HYUNDAI,IONIQ 5 Limited,D019,Detroit,MI,21200,Grounded,2026-01-19,,Grounded at Dealer_S
VIN_XXXXXXXXXX340,2022,HYUNDAI,IONIQ 5 SE,D030,San Antonio,TX,17550,Grounded,2025-12-22,,Grounded at Dealer_DD
VIN_XXXXXXXXXX341,2022,HYUNDAI,IONIQ 5 SE,D043,Bismarck,ND,17950,Grounded,2025-10-27,,Grounded at Dealer_QQ
VIN_XXXXXXXXXX342,2023,HYUNDAI,IONIQ 5 Limited,D047,Columbus,OH,23300,Grounded,2025-10-06,,Grounded at Dealer_UU
VIN_XXXXXXXXXX343,2024,HYUNDAI,IONIQ 5 SEL,D021,Pierre,SD,27100,Grounded,2025-11-17,,Grounded at Dealer_U
VIN_XXXXXXXXXX344,2024,HYUNDAI,IONIQ 5 SEL,D030,San Antonio,TX,25850,Grounded,2025-11-10,,Grounded at Dealer_DD
VIN_XXXXXXXXXX345,2022,HYUNDAI,IONIQ 5 SE,D002,Sacramento,CA,16350,Grounded,2025-11-10,,Grounded at Dealer_B
VIN_XXXXXXXXXX346,2023,HYUNDAI,IONIQ 5 Limited,D043,Bismarck,ND,16150,Grounded,2025-12-01,,Grounded at Dealer_QQ
VIN_XXXXXXXXXX347,2022,HYUNDAI,IONIQ 5 SE,D008,Topeka,KS,14750,Grounded,2025-10-27,,Grounded at Dealer_H
VIN_XXXXXXXXXX348,2022,HYUNDAI,IONIQ 5 SE,D029,Jackson,MS,17600,Grounded,2025-10-20,,Grounded at Dealer_CC
VIN_XXXXXXXXXX349,2023,HYUNDAI,IONIQ 5 Limited,D033,Los Angeles,CA,21300,Grounded,2025-12-22,,Grounded at Dealer_GG
VIN_XXXXXXXXXX350,2023,HYUNDAI,IONIQ 5 Limited,D042,Milwaukee,WI,20700,Grounded,2026-01-12,,Grounded at Dealer_PP
VIN_XXXXXXXXXX351,2023,HYUNDAI,IONIQ 5 Limited,D040,Little Rock,AR,19250,Grounded,2026-01-19,,Grounded at Dealer_NN
